recorded_at,vehicle_count,avg_speed_kmph,congestion_level
2026-08-12 22:00:00,66,56.2,Low
2026-08-12 23:00:00,20,58.1,Low
2026-08-13 00:00:00,69,57.5,Low
2026-08-13 01:00:00,113,59.2,Low
2026-08-13 02:00:00,138,53.3,Low
2026-08-13 03:00:00,64,58.4,Low
2026-08-13 04:00:00,47,61.8,Low
2026-08-13 05:00:00,147,53.2,Low
2026-08-13 06:00:00,331,49.5,Low
2026-08-13 07:00:00,395,46.7,Medium
2026-08-13 08:00:00,786,27.4,High
2026-08-13 09:00:00,850,26.1,High
2026-08-13 10:00:00,381,46.0,Medium
2026-08-13 11:00:00,357,45.4,Medium
2026-08-13 12:00:00,404,44.9,Medium
2026-08-13 13:00:00,428,40.6,Medium
2026-08-13 14:00:00,338,49.0,Low
2026-08-13 15:00:00,413,42.0,Medium
2026-08-13 16:00:00,462,41.8,Medium
2026-08-13 17:00:00,947,22.3,High
2026-08-13 18:00:00,982,24.2,High
2026-08-13 19:00:00,890,26.3,High
2026-08-13 20:00:00,425,45.7,Medium
2026-08-13 21:00:00,361,46.9,Medium
2026-08-13 22:00:00,142,50.8,Low
2026-08-13 23:00:00,52,53.8,Low
2026-08-14 00:00:00,89,57.9,Low
2026-08-14 01:00:00,160,53.7,Low
2026-08-14 02:00:00,165,50.6,Low
2026-08-14 03:00:00,31,58.6,Low
2026-08-14 04:00:00,115,55.3,Low
2026-08-14 05:00:00,20,59.0,Low
2026-08-14 06:00:00,347,47.5,Low
2026-08-14 07:00:00,414,41.6,Medium
2026-08-14 08:00:00,829,24.7,High
2026-08-14 09:00:00,847,28.0,High
2026-08-14 10:00:00,360,46.6,Medium
2026-08-14 11:00:00,378,43.3,Medium
2026-08-14 12:00:00,395,42.1,Medium
2026-08-14 13:00:00,377,42.5,Medium
2026-08-14 14:00:00,478,41.0,Medium
2026-08-14 15:00:00,372,45.5,Medium
2026-08-14 16:00:00,395,43.8,Medium
2026-08-14 17:00:00,924,24.6,High
2026-08-14 18:00:00,878,23.7,High
2026-08-14 19:00:00,888,19.9,High
2026-08-14 20:00:00,339,49.2,Low
2026-08-14 21:00:00,465,40.9,Medium
2026-08-14 22:00:00,123,55.7,Low
2026-08-14 23:00:00,223,53.3,Low
2026-08-15 00:00:00,54,55.9,Low
2026-08-15 01:00:00,20,59.6,Low
2026-08-15 02:00:00,29,56.0,Low
2026-08-15 03:00:00,34,56.5,Low
2026-08-15 04:00:00,127,56.7,Low
2026-08-15 05:00:00,59,60.6,Low
2026-08-15 06:00:00,243,48.6,Low
2026-08-15 07:00:00,300,49.1,Low
2026-08-15 08:00:00,468,40.9,Medium
2026-08-15 09:00:00,474,38.3,Medium
2026-08-15 10:00:00,277,52.7,Low
2026-08-15 11:00:00,184,53.8,Low
2026-08-15 12:00:00,213,50.5,Low
2026-08-15 13:00:00,216,49.6,Low
2026-08-15 14:00:00,241,48.7,Low
2026-08-15 15:00:00,250,49.9,Low
2026-08-15 16:00:00,230,49.0,Low
2026-08-15 17:00:00,516,40.9,Medium
2026-08-15 18:00:00,560,35.6,Medium
2026-08-15 19:00:00,543,39.8,Medium
2026-08-15 20:00:00,173,54.2,Low
2026-08-15 21:00:00,213,52.6,Low
2026-08-15 22:00:00,29,55.2,Low
2026-08-15 23:00:00,20,59.3,Low
2026-08-16 00:00:00,70,55.4,Low
2026-08-16 01:00:00,85,53.3,Low
2026-08-16 02:00:00,57,55.3,Low
2026-08-16 03:00:00,33,58.8,Low
2026-08-16 04:00:00,25,58.2,Low
2026-08-16 05:00:00,100,54.8,Low
2026-08-16 06:00:00,273,46.8,Low
2026-08-16 07:00:00,261,52.4,Low
2026-08-16 08:00:00,411,42.0,Medium
2026-08-16 09:00:00,533,38.3,Medium
2026-08-16 10:00:00,254,48.6,Low
2026-08-16 11:00:00,243,50.0,Low
2026-08-16 12:00:00,286,49.1,Low
2026-08-16 13:00:00,253,49.1,Low
2026-08-16 14:00:00,220,50.3,Low
2026-08-16 15:00:00,255,49.0,Low
2026-08-16 16:00:00,251,54.1,Low
2026-08-16 17:00:00,574,36.4,Medium
2026-08-16 18:00:00,588,35.7,Medium
2026-08-16 19:00:00,458,39.7,Medium
2026-08-16 20:00:00,165,52.7,Low
2026-08-16 21:00:00,240,53.8,Low
2026-08-16 22:00:00,73,56.6,Low
2026-08-16 23:00:00,93,51.9,Low
2026-08-17 00:00:00,109,57.2,Low
2026-08-17 01:00:00,40,60.7,Low
2026-08-17 02:00:00,113,54.6,Low
2026-08-17 03:00:00,125,59.5,Low
2026-08-17 04:00:00,107,56.2,Low
2026-08-17 05:00:00,81,55.1,Low
2026-08-17 06:00:00,433,41.0,Medium
2026-08-17 07:00:00,402,43.0,Medium
2026-08-17 08:00:00,869,25.9,High
2026-08-17 09:00:00,891,23.3,High
2026-08-17 10:00:00,389,42.5,Medium
2026-08-17 11:00:00,382,45.5,Medium
2026-08-17 12:00:00,430,41.0,Medium
2026-08-17 13:00:00,434,45.4,Medium
2026-08-17 14:00:00,416,47.1,Medium
2026-08-17 15:00:00,369,42.8,Medium
2026-08-17 16:00:00,328,49.9,Low
2026-08-17 17:00:00,926,22.8,High
2026-08-17 18:00:00,911,21.3,High
2026-08-17 19:00:00,997,20.4,High
2026-08-17 20:00:00,404,45.3,Medium
2026-08-17 21:00:00,419,43.7,Medium
2026-08-17 22:00:00,68,58.2,Low
2026-08-17 23:00:00,175,55.7,Low
2026-08-18 00:00:00,163,52.5,Low
2026-08-18 01:00:00,60,57.3,Low
2026-08-18 02:00:00,102,58.1,Low
2026-08-18 03:00:00,32,61.8,Low
2026-08-18 04:00:00,93,55.4,Low
2026-08-18 05:00:00,59,54.3,Low
2026-08-18 06:00:00,432,42.9,Medium
2026-08-18 07:00:00,348,43.5,Low
2026-08-18 08:00:00,836,29.9,High
2026-08-18 09:00:00,839,23.4,High
2026-08-18 10:00:00,390,43.9,Medium
2026-08-18 11:00:00,292,48.2,Low
2026-08-18 12:00:00,390,45.8,Medium
2026-08-18 13:00:00,473,43.3,Medium
2026-08-18 14:00:00,389,42.2,Medium
2026-08-18 15:00:00,502,40.0,Medium
2026-08-18 16:00:00,400,44.0,Medium
2026-08-18 17:00:00,907,23.4,High
2026-08-18 18:00:00,877,23.8,High
2026-08-18 19:00:00,898,23.0,High
2026-08-18 20:00:00,371,45.4,Medium
2026-08-18 21:00:00,389,47.4,Medium
2026-08-18 22:00:00,20,61.4,Low
2026-08-18 23:00:00,149,49.9,Low
2026-08-19 00:00:00,86,55.8,Low
2026-08-19 01:00:00,43,56.7,Low
2026-08-19 02:00:00,55,61.3,Low
2026-08-19 03:00:00,137,57.1,Low
2026-08-19 04:00:00,128,52.6,Low
2026-08-19 05:00:00,79,57.8,Low
2026-08-19 06:00:00,351,47.4,Medium
2026-08-19 07:00:00,390,43.7,Medium
2026-08-19 08:00:00,878,25.8,High
2026-08-19 09:00:00,835,28.9,High
2026-08-19 10:00:00,356,47.0,Medium
2026-08-19 11:00:00,423,42.5,Medium
2026-08-19 12:00:00,413,41.0,Medium
2026-08-19 13:00:00,436,42.2,Medium
2026-08-19 14:00:00,379,46.9,Medium
2026-08-19 15:00:00,371,42.3,Medium
2026-08-19 16:00:00,337,47.7,Low
2026-08-19 17:00:00,848,29.6,High
2026-08-19 18:00:00,816,30.8,High
2026-08-19 19:00:00,908,23.5,High
2026-08-19 20:00:00,378,45.7,Medium
2026-08-19 21:00:00,398,46.3,Medium
2026-08-19 22:00:00,104,56.1,Low
2026-08-19 23:00:00,85,56.5,Low
2026-08-20 00:00:00,112,52.1,Low
2026-08-20 01:00:00,46,59.6,Low
2026-08-20 02:00:00,106,55.4,Low
2026-08-20 03:00:00,100,56.7,Low
2026-08-20 04:00:00,78,55.3,Low
2026-08-20 05:00:00,107,53.8,Low
2026-08-20 06:00:00,416,40.0,Medium
2026-08-20 07:00:00,441,43.3,Medium
2026-08-20 08:00:00,860,27.6,High
2026-08-20 09:00:00,916,25.4,High
2026-08-20 10:00:00,326,44.4,Low
2026-08-20 11:00:00,375,45.1,Medium
2026-08-20 12:00:00,420,41.7,Medium
2026-08-20 13:00:00,407,42.2,Medium
2026-08-20 14:00:00,375,42.2,Medium
2026-08-20 15:00:00,363,42.8,Medium
2026-08-20 16:00:00,360,47.7,Medium
2026-08-20 17:00:00,862,30.8,High
2026-08-20 18:00:00,919,23.6,High
2026-08-20 19:00:00,865,26.8,High
2026-08-20 20:00:00,376,45.2,Medium
2026-08-20 21:00:00,502,39.7,Medium
2026-08-20 22:00:00,145,52.8,Low
2026-08-20 23:00:00,98,59.6,Low
2026-08-21 00:00:00,74,60.7,Low
2026-08-21 01:00:00,128,53.8,Low
2026-08-21 02:00:00,125,56.9,Low
2026-08-21 03:00:00,124,51.9,Low
2026-08-21 04:00:00,70,56.7,Low
2026-08-21 05:00:00,97,57.4,Low
2026-08-21 06:00:00,407,41.0,Medium
2026-08-21 07:00:00,415,44.6,Medium
2026-08-21 08:00:00,872,27.3,High
2026-08-21 09:00:00,883,25.6,High
2026-08-21 10:00:00,397,40.8,Medium
2026-08-21 11:00:00,417,43.7,Medium
2026-08-21 12:00:00,410,41.0,Medium
2026-08-21 13:00:00,356,47.9,Medium
2026-08-21 14:00:00,398,45.4,Medium
2026-08-21 15:00:00,401,44.0,Medium
2026-08-21 16:00:00,437,41.5,Medium
2026-08-21 17:00:00,903,23.0,High
2026-08-21 18:00:00,882,24.1,High
2026-08-21 19:00:00,908,22.7,High
2026-08-21 20:00:00,450,40.2,Medium
2026-08-21 21:00:00,392,43.4,Medium
2026-08-21 22:00:00,157,54.1,Low
2026-08-21 23:00:00,141,51.4,Low
2026-08-22 00:00:00,70,59.0,Low
2026-08-22 01:00:00,63,59.6,Low
2026-08-22 02:00:00,39,61.3,Low
2026-08-22 03:00:00,151,53.2,Low
2026-08-22 04:00:00,42,61.2,Low
2026-08-22 05:00:00,123,54.0,Low
2026-08-22 06:00:00,223,50.5,Low
2026-08-22 07:00:00,186,50.7,Low
2026-08-22 08:00:00,469,39.7,Medium
2026-08-22 09:00:00,508,40.1,Medium
2026-08-22 10:00:00,302,45.9,Low
2026-08-22 11:00:00,279,48.4,Low
2026-08-22 12:00:00,238,51.8,Low
2026-08-22 13:00:00,195,53.0,Low
2026-08-22 14:00:00,246,51.1,Low
2026-08-22 15:00:00,251,54.9,Low
2026-08-22 16:00:00,214,50.4,Low
2026-08-22 17:00:00,515,38.3,Medium
2026-08-22 18:00:00,514,41.8,Medium
2026-08-22 19:00:00,596,35.0,Medium
2026-08-22 20:00:00,206,52.7,Low
2026-08-22 21:00:00,217,52.6,Low
2026-08-22 22:00:00,68,54.2,Low
2026-08-22 23:00:00,121,58.8,Low
2026-08-23 00:00:00,35,57.8,Low
2026-08-23 01:00:00,71,57.8,Low
2026-08-23 02:00:00,86,60.6,Low
2026-08-23 03:00:00,52,56.3,Low
2026-08-23 04:00:00,20,57.7,Low
2026-08-23 05:00:00,58,61.3,Low
2026-08-23 06:00:00,219,51.7,Low
2026-08-23 07:00:00,239,52.8,Low
2026-08-23 08:00:00,611,34.5,Medium
2026-08-23 09:00:00,490,42.5,Medium
2026-08-23 10:00:00,267,53.0,Low
2026-08-23 11:00:00,263,48.8,Low
2026-08-23 12:00:00,263,51.7,Low
2026-08-23 13:00:00,272,50.1,Low
2026-08-23 14:00:00,282,51.1,Low
2026-08-23 15:00:00,295,49.5,Low
2026-08-23 16:00:00,233,51.0,Low
2026-08-23 17:00:00,588,34.8,Medium
2026-08-23 18:00:00,554,37.1,Medium
2026-08-23 19:00:00,541,40.9,Medium
2026-08-23 20:00:00,247,50.2,Low
2026-08-23 21:00:00,185,54.1,Low
2026-08-23 22:00:00,85,60.9,Low
2026-08-23 23:00:00,47,58.6,Low
2026-08-24 00:00:00,109,58.8,Low
2026-08-24 01:00:00,96,56.7,Low
2026-08-24 02:00:00,124,55.4,Low
2026-08-24 03:00:00,82,57.1,Low
2026-08-24 04:00:00,142,52.3,Low
2026-08-24 05:00:00,105,54.4,Low
2026-08-24 06:00:00,447,39.1,Medium
2026-08-24 07:00:00,377,45.7,Medium
2026-08-24 08:00:00,912,23.4,High
2026-08-24 09:00:00,827,30.7,High
2026-08-24 10:00:00,342,41.9,Low
2026-08-24 11:00:00,417,42.3,Medium
2026-08-24 12:00:00,359,47.1,Medium
2026-08-24 13:00:00,409,42.5,Medium
2026-08-24 14:00:00,348,47.8,Low
2026-08-24 15:00:00,426,42.8,Medium
2026-08-24 16:00:00,473,38.9,Medium
2026-08-24 17:00:00,838,25.1,High
2026-08-24 18:00:00,898,24.6,High
2026-08-24 19:00:00,890,25.1,High
2026-08-24 20:00:00,349,48.9,Low
2026-08-24 21:00:00,396,46.4,Medium
2026-08-24 22:00:00,113,56.4,Low
2026-08-24 23:00:00,122,56.0,Low
2026-08-25 00:00:00,125,57.7,Low
2026-08-25 01:00:00,107,57.1,Low
2026-08-25 02:00:00,96,59.0,Low
2026-08-25 03:00:00,72,60.7,Low
2026-08-25 04:00:00,98,53.2,Low
2026-08-25 05:00:00,105,54.4,Low
2026-08-25 06:00:00,433,41.4,Medium
2026-08-25 07:00:00,382,40.9,Medium
2026-08-25 08:00:00,831,21.9,High
2026-08-25 09:00:00,786,30.1,High
2026-08-25 10:00:00,431,43.6,Medium
2026-08-25 11:00:00,361,45.5,Medium
2026-08-25 12:00:00,399,41.7,Medium
2026-08-25 13:00:00,460,43.4,Medium
2026-08-25 14:00:00,391,44.4,Medium
2026-08-25 15:00:00,408,39.6,Medium
2026-08-25 16:00:00,390,43.0,Medium
2026-08-25 17:00:00,859,25.1,High
2026-08-25 18:00:00,971,22.4,High
2026-08-25 19:00:00,877,26.1,High
2026-08-25 20:00:00,455,43.6,Medium
2026-08-25 21:00:00,402,42.6,Medium
2026-08-25 22:00:00,127,55.7,Low
2026-08-25 23:00:00,135,55.9,Low
2026-08-26 00:00:00,141,53.3,Low
2026-08-26 01:00:00,152,54.3,Low
2026-08-26 02:00:00,183,51.3,Low
2026-08-26 03:00:00,169,53.6,Low
2026-08-26 04:00:00,73,56.1,Low
2026-08-26 05:00:00,87,57.4,Low
2026-08-26 06:00:00,420,42.1,Medium
2026-08-26 07:00:00,399,48.3,Medium
2026-08-26 08:00:00,919,24.1,High
2026-08-26 09:00:00,851,26.2,High
2026-08-26 10:00:00,424,41.0,Medium
2026-08-26 11:00:00,389,41.1,Medium
2026-08-26 12:00:00,415,44.7,Medium
2026-08-26 13:00:00,380,47.9,Medium
2026-08-26 14:00:00,350,43.1,Low
2026-08-26 15:00:00,408,45.8,Medium
2026-08-26 16:00:00,467,40.4,Medium
2026-08-26 17:00:00,943,22.2,High
2026-08-26 18:00:00,893,26.0,High
2026-08-26 19:00:00,926,19.8,High
2026-08-26 20:00:00,459,44.4,Medium
2026-08-26 21:00:00,374,45.8,Medium
2026-08-26 22:00:00,119,55.8,Low
2026-08-26 23:00:00,77,55.6,Low
2026-08-27 00:00:00,98,58.4,Low
2026-08-27 01:00:00,121,54.4,Low
2026-08-27 02:00:00,130,49.1,Low
2026-08-27 03:00:00,145,50.7,Low
2026-08-27 04:00:00,85,54.4,Low
2026-08-27 05:00:00,48,60.4,Low
2026-08-27 06:00:00,381,45.5,Medium
2026-08-27 07:00:00,398,45.0,Medium
2026-08-27 08:00:00,853,23.3,High
2026-08-27 09:00:00,889,23.5,High
2026-08-27 10:00:00,337,45.7,Low
2026-08-27 11:00:00,460,43.3,Medium
2026-08-27 12:00:00,386,43.9,Medium
2026-08-27 13:00:00,387,48.7,Medium
2026-08-27 14:00:00,415,44.3,Medium
2026-08-27 15:00:00,441,42.8,Medium
2026-08-27 16:00:00,389,44.0,Medium
2026-08-27 17:00:00,897,24.0,High
2026-08-27 18:00:00,929,22.9,High
2026-08-27 19:00:00,929,22.7,High
2026-08-27 20:00:00,403,39.9,Medium
2026-08-27 21:00:00,436,43.3,Medium
2026-08-27 22:00:00,139,48.6,Low
2026-08-27 23:00:00,183,52.4,Low
2026-08-28 00:00:00,144,52.2,Low
2026-08-28 01:00:00,124,52.9,Low
2026-08-28 02:00:00,75,60.8,Low
2026-08-28 03:00:00,92,56.8,Low
2026-08-28 04:00:00,134,55.6,Low
2026-08-28 05:00:00,106,56.5,Low
2026-08-28 06:00:00,496,40.0,Medium
2026-08-28 07:00:00,408,45.8,Medium
2026-08-28 08:00:00,894,26.6,High
2026-08-28 09:00:00,875,22.7,High
2026-08-28 10:00:00,465,39.1,Medium
2026-08-28 11:00:00,412,42.0,Medium
2026-08-28 12:00:00,397,44.8,Medium
2026-08-28 13:00:00,412,44.4,Medium
2026-08-28 14:00:00,464,42.3,Medium
2026-08-28 15:00:00,390,46.3,Medium
2026-08-28 16:00:00,447,39.7,Medium
2026-08-28 17:00:00,923,24.5,High
2026-08-28 18:00:00,888,27.2,High
2026-08-28 19:00:00,893,24.5,High
2026-08-28 20:00:00,393,44.3,Medium
2026-08-28 21:00:00,356,42.9,Medium
2026-08-28 22:00:00,163,51.8,Low
2026-08-28 23:00:00,60,53.3,Low
2026-08-29 00:00:00,34,56.0,Low
2026-08-29 01:00:00,125,57.0,Low
2026-08-29 02:00:00,32,63.2,Low
2026-08-29 03:00:00,99,55.4,Low
2026-08-29 04:00:00,20,63.8,Low
2026-08-29 05:00:00,20,55.9,Low
2026-08-29 06:00:00,280,53.7,Low
2026-08-29 07:00:00,295,49.3,Low
2026-08-29 08:00:00,533,40.4,Medium
2026-08-29 09:00:00,540,39.0,Medium
2026-08-29 10:00:00,244,50.1,Low
2026-08-29 11:00:00,209,51.1,Low
2026-08-29 12:00:00,172,52.9,Low
2026-08-29 13:00:00,200,49.8,Low
2026-08-29 14:00:00,247,52.9,Low
2026-08-29 15:00:00,276,45.8,Low
2026-08-29 16:00:00,200,53.9,Low
2026-08-29 17:00:00,500,39.6,Medium
2026-08-29 18:00:00,562,35.6,Medium
2026-08-29 19:00:00,544,35.6,Medium
2026-08-29 20:00:00,215,52.0,Low
2026-08-29 21:00:00,176,53.8,Low
2026-08-29 22:00:00,59,58.7,Low
2026-08-29 23:00:00,68,60.0,Low
2026-08-30 00:00:00,65,56.5,Low
2026-08-30 01:00:00,64,58.5,Low
2026-08-30 02:00:00,61,57.6,Low
2026-08-30 03:00:00,31,57.4,Low
2026-08-30 04:00:00,20,62.7,Low
2026-08-30 05:00:00,20,57.8,Low
2026-08-30 06:00:00,211,53.3,Low
2026-08-30 07:00:00,228,53.4,Low
2026-08-30 08:00:00,483,41.2,Medium
2026-08-30 09:00:00,476,45.3,Medium
2026-08-30 10:00:00,192,52.9,Low
2026-08-30 11:00:00,265,50.2,Low
2026-08-30 12:00:00,232,50.5,Low
2026-08-30 13:00:00,241,50.1,Low
2026-08-30 14:00:00,278,53.3,Low
2026-08-30 15:00:00,217,48.6,Low
2026-08-30 16:00:00,236,55.7,Low
2026-08-30 17:00:00,507,43.0,Medium
2026-08-30 18:00:00,607,34.6,Medium
2026-08-30 19:00:00,562,40.8,Medium
2026-08-30 20:00:00,224,50.6,Low
2026-08-30 21:00:00,216,49.3,Low
2026-08-30 22:00:00,34,56.2,Low
2026-08-30 23:00:00,61,56.0,Low
2026-08-31 00:00:00,109,52.5,Low
2026-08-31 01:00:00,113,57.1,Low
2026-08-31 02:00:00,20,59.9,Low
